topic_words3,Eesti Keskerakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,Eesti Reformierakonna fraktsioon,Eesti Vabaerakonna fraktsioon,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonidesse mittekuulunud Riigikogu liikmed,Isamaa fraktsioon,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon
lipud lippude lipp,0.0006436559658862338,0.0010178117048346056,0.0008874689385871495,0.000361794500723589,0.0,0.0,0.0,0.0006753714542998649,0.0,0.00026712969146520634
lisaeelarve lisaeelarves lisaeelarvega,0.0013677689275082467,0.0013994910941475826,0.002129925452609159,0.000723589001447178,0.0,0.0,0.0004701457451810061,0.004727600180099055,0.0007727975270479134,0.003071991451849873
lng terminali gaasi,0.00313782283369539,0.0030534351145038168,0.0038161164359247425,0.000723589001447178,0.0,0.0,0.0028208744710860366,0.01620891490319676,0.0030911901081916537,0.0017363429945238414
loomi loomade loomad,0.0037010218038458446,0.008905852417302799,0.0020411785587504437,0.001447178002894356,0.003067484662576687,0.018134715025906734,0.004936530324400564,0.005628095452498875,0.00231839258114374,0.010418057967143048
louis freeh kremli,0.000724112961622013,0.0033078880407124683,0.0022186723464678736,0.000723589001447178,0.003067484662576687,0.0,0.0014104372355430183,0.0013507429085997298,0.0005151983513652757,0.0006678242286630158
maantee neljarealiseks ppp,0.0032182798294311693,0.002035623409669211,0.004437344692935747,0.0,0.0,0.0,0.0014104372355430183,0.0036019810895992796,0.002575991756826378,0.0012020836115934285
maavalitsuste maavalitsused maakonna,0.007321586611955909,0.0027989821882951653,0.0025736599219027332,0.009768451519536902,0.027607361963190184,0.0051813471502590676,0.004466384579219558,0.0027014858171994596,0.0038639876352395673,0.006411112595164953
magustatud suhkrut joogi,0.0016895969104513638,0.0001272264631043257,0.0024849130280440185,0.001085383502170767,0.0,0.0051813471502590676,0.0016455101081335214,0.0015758667266996848,0.0005151983513652757,0.0012020836115934285
majandusaasta koondaruanne raamatupidamise,0.00313782283369539,0.0006361323155216285,0.004171104011359603,0.001447178002894356,0.0,0.0,0.0037611659614480487,0.002926609635299415,0.006955177743431221,0.003472685989047683
maksuamet tolliamet tolliameti,0.0064365596588623385,0.0035623409669211198,0.01650692225772098,0.005065123010130246,0.006134969325153374,0.0025906735751295338,0.007522331922896097,0.00495272399819901,0.019319938176197836,0.004941899292106318
matusetoetust matusetoetus matusetoetuse,0.004666505752675195,0.0015267175572519084,0.0008874689385871495,0.0,0.03374233128834356,0.0025906735751295338,0.003526093088857546,0.0,0.002833590932509016,0.0009349539201282223
memorandumi moistmise memorandum,0.0015286829189798052,0.0005089058524173028,0.0009762158324458644,0.000361794500723589,0.003067484662576687,0.0,0.0007052186177715092,0.00022512381809995497,0.0010303967027305513,0.0009349539201282223
mes maale maaelu,0.0008850269530935715,0.0011450381679389313,0.0005324813631522897,0.0,0.003067484662576687,0.0025906735751295338,0.0011753643629525152,0.002926609635299415,0.0010303967027305513,0.0020034726859890477
