2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
arengukavad arengukavade pohialuste 0.996% -> 0.86% (-13.636%),vallaga vald sauga 0.535% -> 0.423% (-20.915%),eelarvele kulude riigieelarvele 0.635% -> 0.548% (-13.669%),piirikontrolli schengeni valispiiri 0.148% -> 0.101% (-31.39%),ugri rahvaste polisrahvaste 0.025% -> 0.0% (-99.448%),koolituse koolitus koolitusele 0.126% -> 0.084% (-33.228%),inflatsiooni inflatsioon hinnatous 0.158% -> 0.105% (-33.396%),kaitseliit kaitseliidule kaitseliidu 0.598% -> 0.523% (-12.532%),keskkonnaameti uhendamine uhendamise 0.6% -> 0.484% (-19.246%),hoone rkas hoonet 0.377% -> 0.292% (-22.539%),efsf esm kreekale 0.595% -> 0.504% (-15.195%),ametiuhingute tooandjate keskliit 0.375% -> 0.295% (-21.372%)
lng terminali gaasi 0.227% -> 0.162% (-28.483%),talupidajate kaubanduskoja kaubanduskoda 0.081% -> 0.04% (-51.066%),joustumine joustuma joustada 1.045% -> 0.928% (-11.231%),eelarves riigieelarves reservist 1.455% -> 1.304% (-10.384%),rahapesu terrorismi andmeburoo 0.025% -> 0.0% (-99.448%),ooteala piiriuletuse piiripunkti 0.14% -> 0.095% (-32.393%),ooteala piiriuletuse piiripunkti 0.095% -> 0.052% (-44.497%),leping ratifitseerida lepinguga 0.504% -> 0.434% (-13.865%),normitehnika mojude eeskiri 0.459% -> 0.359% (-21.905%),kinnisasja maad maa 0.287% -> 0.213% (-25.705%),riigiabi komisjonilt loa 0.325% -> 0.258% (-20.703%),sigade katku katk 0.117% -> 0.074% (-37.098%)
nord stream streami 0.227% -> 0.162% (-28.483%),vabatahtlike komandode paasteameti 1.493% -> 1.297% (-13.125%),voidusamba vabadussoja uurimiskomisjon 0.106% -> 0.0% (-99.801%),kusimusena tahtsa tahtsusega 0.169% -> 0.114% (-32.462%),talupidajate kaubanduskoja kaubanduskoda 0.063% -> 0.042% (-33.734%),kohtunike kohtususteem kohtuniku 1.091% -> 0.956% (-12.361%),pensionitous pensionitousu pension 0.2% -> 0.136% (-31.644%),muugimaksu muugimaks paadimaksu 0.084% -> 0.0% (-99.848%),valitsemisalade katteallikaks riigieelarves 0.077% -> 0.036% (-53.143%),domeenide domeeni interneti 0.036% -> 0.011% (-68.718%),kandidaadi kandidaati kandidaat 0.123% -> 0.082% (-33.483%),kusimusena tahtsa tahtsusega 0.141% -> 0.092% (-34.477%)
rahvahaaletuse rahvahaaletus rahvahaaletusel 0.088% -> 0.049% (-44.83%),kodakondsust kodakondsuse kodanikuks 0.908% -> 0.754% (-16.987%),rahapesu terrorismi andmeburoo 0.119% -> 0.0% (-99.823%),maavalitsuste maavalitsused maakonna 0.548% -> 0.443% (-19.185%),teenistuse teenistuses avalikus 0.177% -> 0.14% (-21.111%),maantee neljarealiseks ppp 0.168% -> 0.116% (-31.141%),teede teehoiuks teedele 0.137% -> 0.084% (-38.52%),tootuna arvele ariuhingu 0.105% -> 0.0% (-99.878%),lng terminali gaasi 0.077% -> 0.036% (-53.143%),idapiiri piiririba valjaehitamine 0.197% -> 0.135% (-31.748%),kasvavad tuleval kasv 0.258% -> 0.188% (-27.285%),ugri rahvaste polisrahvaste 0.141% -> 0.092% (-34.477%)
liiklussurmade liikluses hukkunute 0.491% -> 0.389% (-20.781%),virumaale virumaa toostusalade 0.47% -> 0.357% (-24.068%),pensioniiga pensioniea eluiga 0.251% -> 0.19% (-24.504%),teekasutustasu autode autod 0.337% -> 0.253% (-24.957%),koolilouna koolitoidu koolitoit 1.0% -> 0.909% (-9.128%),elamisluba elamisloa viisa 0.937% -> 0.809% (-13.67%),sigade katku katk 0.326% -> 0.241% (-25.877%),salastatud valisteabe riigisaladuse 0.063% -> 0.038% (-39.199%),ugri rahvaste polisrahvaste 0.077% -> 0.036% (-53.143%),lae korgepalgaliste lagi 0.054% -> 0.022% (-58.29%),tulubaasi omavalitsustele omavalitsuste 0.46% -> 0.364% (-20.967%),samba sammas sambasse 0.164% -> 0.111% (-32.605%)
hadaolukorda eriolukord eriolukorra 0.214% -> 0.146% (-31.848%),keskkonnaameti uhendamine uhendamise 0.243% -> 0.159% (-34.755%),moisteid moiste moisted 0.767% -> 0.654% (-14.814%),valitsemisalade katteallikaks riigieelarves 0.127% -> 0.076% (-39.966%),koosoleku elektrooniline koosolekut 0.051% -> 0.0% (-99.724%),huvigruppe huvigruppide kaasatud 0.895% -> 0.767% (-14.318%),prokuratuur prokuratuuri prokuror 0.924% -> 0.776% (-15.989%),objekti anu raua 0.126% -> 0.089% (-29.065%),poolte kokkuleppel huvitise 0.217% -> 0.143% (-33.849%),slovakkia ungari portugal 0.484% -> 0.382% (-21.215%),vagivalla naistevastase perevagivalla 0.056% -> 0.023% (-58.189%),noukogudesse ariuhingute noukogudes 0.188% -> 0.129% (-31.201%)
erimargistatud kutust kutuse 0.933% -> 0.779% (-16.499%),lipud lippude lipp 0.049% -> 0.013% (-72.815%),viirust vaktsineeritud viiruse 0.132% -> 0.084% (-36.248%),poolte kokkuleppel huvitise 0.19% -> 0.127% (-33.295%),leping ratifitseerida lepinguga 0.709% -> 0.629% (-11.25%),teekasutustasu autode autod 0.196% -> 0.137% (-30.247%),krimmi agressiooni ukraina 1.187% -> 1.007% (-15.124%),ametipalkade riigiteenijate korgemate 0.157% -> 0.0% (-99.919%),kusija vastaja vastasin 0.153% -> 0.09% (-41.429%),haalte kandidaatidele haaletamisest 0.072% -> 0.034% (-53.077%),jaatmeid liigiti prugi 0.292% -> 0.211% (-27.635%),eelarvele kulude riigieelarvele 0.188% -> 0.129% (-31.201%)
otsevalimise presidenti presidendi 0.353% -> 0.26% (-26.439%),muundatud geneetiliselt gmo 0.049% -> 0.013% (-72.815%),keskkonnaameti uhendamine uhendamise 0.159% -> 0.105% (-33.591%),oigusloome oigusloomes oiguspoliitika 0.253% -> 0.177% (-29.96%),korruptsiooni korruptsioon korruptsiooniga 0.165% -> 0.126% (-23.539%),tooandja tervisesse maksuvabalt 0.545% -> 0.441% (-19.103%),haiguspaevade haiguspaevi haiguspaeva 0.042% -> 0.01% (-75.024%),iive sundimus iibe 0.514% -> 0.434% (-15.623%),iive sundimus iibe 0.434% -> 0.323% (-25.58%),rahapesu terrorismi andmeburoo 0.323% -> 0.236% (-27.008%),kandidaati kandidaat valituks 0.18% -> 0.117% (-34.67%),palgatousu opetajate palgatous 0.891% -> 0.756% (-15.165%)
ts parvlaeva parvlaevad 0.315% -> 0.227% (-27.911%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.049% -> 0.013% (-72.815%),oigusriik oigusriigi oigusriigist 0.185% -> 0.127% (-31.694%),teenistuse teenistuses avalikus 0.253% -> 0.177% (-29.96%),virumaale virumaa toostusalade 0.519% -> 0.447% (-13.8%),ulikooliga kbfi instituudi 0.266% -> 0.189% (-28.835%),fie fuusilisest isikust 0.389% -> 0.283% (-27.096%),lipud lippude lipp 0.031% -> 0.013% (-59.466%),efsf esm kreekale 0.447% -> 0.323% (-27.706%),direktiivi direktiiv ulevotmise 0.592% -> 0.471% (-20.373%),elamisluba elamisloa viisa 0.539% -> 0.411% (-23.782%),kirik kiriku maarja 0.047% -> 0.018% (-60.686%)
vagivallale vihakone ohutamine 0.466% -> 0.357% (-23.457%),maantee neljarealiseks ppp 0.227% -> 0.146% (-35.92%),valimiskomisjon proteste valimiskasti 0.079% -> 0.042% (-46.873%),erso teatri kontserdi 0.042% -> 0.013% (-69.983%),mes maale maaelu 0.101% -> 0.07% (-30.972%),haiguspaevade haiguspaevi haiguspaeva 0.084% -> 0.042% (-49.921%),jahimehed jahimeeste jahti 0.189% -> 0.115% (-38.947%),president ilves presidendi 0.052% -> 0.026% (-51.359%),aituma infotundi jahimehed 0.255% -> 0.161% (-36.743%),maksuamet tolliamet tolliameti 0.43% -> 0.325% (-24.402%),noukogudesse ariuhingute noukogudes 0.281% -> 0.188% (-33.102%),valdkonnad laekumisest fikseeritakse 0.704% -> 0.0% (-99.974%)
kohanimenoukogu vonnu mulgi 0.05% -> 0.016% (-67.817%),kantsler kantsleri riigisekretar 0.195% -> 0.119% (-38.833%),haaletamissedel haaletamiskasti sedeli 0.053% -> 0.021% (-60.155%),haiguspaevade haiguspaevi haiguspaeva 0.042% -> 0.013% (-69.983%),liiklussurmade liikluses hukkunute 0.279% -> 0.224% (-19.677%),tervist tervis tervisega 0.084% -> 0.042% (-49.921%),liiklussurmade liikluses hukkunute 0.242% -> 0.157% (-34.844%),valimiskomisjon proteste valimiskasti 0.136% -> 0.089% (-34.522%),oigusloome oigusloomes oiguspoliitika 0.255% -> 0.161% (-36.743%),piirivalve valvamise valvamine 0.108% -> 0.056% (-47.863%),kirik kiriku maarja 0.101% -> 0.047% (-53.543%),hiv narkomaania epideemia 0.129% -> 0.074% (-42.816%)
sularaha kommertspangad pangad 0.164% -> 0.097% (-40.586%),valismaale valjarande valjaranne 0.341% -> 0.238% (-30.095%),apteeke apteegid apteekide 0.82% -> 0.675% (-17.739%),omandireformi tagastatud omandireform 0.211% -> 0.139% (-33.962%),oppelaenu sugava puudega 0.051% -> 0.028% (-44.778%),inimarengu aruanne aruandes 0.126% -> 0.074% (-41.574%),valismaale valjarande valjaranne 0.473% -> 0.346% (-26.736%),liitlaste ohutorje keskmaa 0.273% -> 0.204% (-25.168%),jalitustegevuse jalitustoimingu sideandmete 0.115% -> 0.054% (-53.143%),kaitsekulud kaitsekulutused kaitsekulude 0.305% -> 0.213% (-30.075%),maksuamet tolliamet tolliameti 0.325% -> 0.223% (-31.516%),teenistuse teenistuses avalikus 0.199% -> 0.129% (-35.248%)
tootuna arvele ariuhingu 0.101% -> 0.049% (-51.726%),valimiskomisjon proteste valimiskasti 0.146% -> 0.079% (-45.629%),palgalohe soolist meeste 1.006% -> 0.844% (-16.115%),pealinnast tallinnast viljandisse 0.211% -> 0.139% (-33.962%),lipud lippude lipp 0.051% -> 0.028% (-44.778%),huvihariduse huvitegevuse huviharidus 0.21% -> 0.137% (-34.897%),kirik kiriku maarja 0.158% -> 0.084% (-46.717%),rahapesu terrorismi andmeburoo 0.199% -> 0.14% (-29.599%),lapsetoetust lapsetoetus lapsetoetuse 0.345% -> 0.233% (-32.317%),valdkonnad laekumisest fikseeritakse 0.126% -> 0.067% (-46.373%),rahvahaaletuse rahvahaaletus rahvahaaletusel 1.178% -> 0.974% (-17.374%),kandidaadi kandidaati kandidaat 0.082% -> 0.037% (-55.07%)
iive sundimus iibe 0.403% -> 0.292% (-27.589%),metsa metsade mets 0.454% -> 0.331% (-27.182%),krimmi agressiooni ukraina 0.516% -> 0.401% (-22.353%),tulumaksuvaba maksususteemi tulumaksu 1.539% -> 1.329% (-13.65%),muraste kase kompleksi 0.139% -> 0.098% (-29.717%),talupidajate kaubanduskoja kaubanduskoda 0.042% -> 0.011% (-74.96%),kontrollin haaled kandidaadi 0.084% -> 0.031% (-62.535%),ugri rahvaste polisrahvaste 0.126% -> 0.077% (-39.199%),abipolitseinik abipolitseiniku abipolitseinike 0.14% -> 0.072% (-48.883%),objekti anu raua 0.143% -> 0.079% (-45.256%),metsa metsade mets 1.549% -> 1.314% (-15.166%),danske filiaali rahapesu 0.211% -> 0.129% (-38.845%)
tulubaasi omavalitsustele omavalitsuste 1.664% -> 1.428% (-14.179%),riigikontrolor karis riigikontrolori 0.114% -> 0.053% (-53.396%),kauguhendus avaksite ettekandjalt 0.172% -> 0.105% (-38.7%),veb fondi uurimiskomisjon 0.211% -> 0.127% (-39.966%),teekasutustasu autode autod 0.253% -> 0.196% (-22.689%),inflatsiooni inflatsioon hinnatous 0.238% -> 0.158% (-33.719%),kulukuse krediidi kiirlaenude 0.105% -> 0.042% (-60.038%),riigireformi riigireformist riigireform 0.766% -> 0.638% (-16.711%),hoiu pangad pankade 0.166% -> 0.09% (-45.934%),toovoimereformi toovoimega toovoimereform 0.161% -> 0.09% (-44.387%),kala kalurid kalurite 0.202% -> 0.117% (-41.929%),uuring uuringut uuringu 0.305% -> 0.203% (-33.469%)
koolituse koolitus koolitusele 0.126% -> 0.065% (-48.508%),konkurss konkursi konkurssi 0.114% -> 0.053% (-53.396%),sularaha kommertspangad pangad 0.225% -> 0.148% (-34.373%),volakirjade keskpank volakirju 0.337% -> 0.228% (-32.462%),elektri elektrit taastuvenergia 1.0% -> 0.881% (-11.924%),etv saateid pbk 0.252% -> 0.168% (-33.228%),kusija vastaja vastasin 0.074% -> 0.021% (-71.456%),kolledz kolledzi turi 0.094% -> 0.051% (-45.954%),seksuaalse vangistusega vaarkohtlemise 0.064% -> 0.018% (-71.886%),kutsehariduse kutseharidus kutsehariduses 0.251% -> 0.157% (-37.436%),koneleja konsensuslikud repliigi 0.09% -> 0.035% (-60.802%),reklaami reklaam alkoholireklaam 0.117% -> 0.055% (-52.823%)
teatri teater rahvusooper 0.252% -> 0.162% (-35.635%),rongi rongide rongid 0.114% -> 0.053% (-53.396%),jalitustegevuse jalitustoimingu sideandmete 0.251% -> 0.169% (-32.892%),kasvavad tuleval kasv 0.316% -> 0.203% (-35.964%),kutsehariduse kutseharidus kutsehariduses 0.43% -> 0.35% (-18.791%),riigipalgaliste riigisektoris koondada 0.937% -> 0.767% (-18.154%),raamatukogu pimedate raamatukogude 0.074% -> 0.021% (-71.456%),tervist tervis tervisega 0.094% -> 0.051% (-45.954%),varude varud varu 0.064% -> 0.018% (-71.886%),tantsupeo laulu traditsiooni 0.179% -> 0.101% (-43.692%),pealinnast tallinnast viljandisse 0.292% -> 0.188% (-35.675%),tootuid tootute tootu 0.246% -> 0.148% (-40.093%)
vallaga vald sauga 0.693% -> 0.535% (-22.761%),danske filiaali rahapesu 0.097% -> 0.04% (-59.222%),kusija vastaja vastasin 0.119% -> 0.063% (-46.873%),vaesuses suhtelises vaesuse 0.316% -> 0.203% (-35.964%),kohtutaiturite kohtutaitur kohtutaituri 0.127% -> 0.084% (-33.734%),pensionitous pensionitousu pension 0.294% -> 0.2% (-32.035%),tulumaksuvaba maksususteemi tulumaksu 1.912% -> 1.616% (-15.465%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.094% -> 0.051% (-45.954%),kulukuse krediidi kiirlaenude 0.064% -> 0.018% (-71.886%),muraste kase kompleksi 0.054% -> 0.011% (-79.145%),riigipalgaliste riigisektoris koondada 0.337% -> 0.223% (-33.799%),kutsehariduse kutseharidus kutsehariduses 0.293% -> 0.184% (-37.098%)
leping ratifitseerida lepinguga 0.592% -> 0.438% (-26.048%),ene ergma aplaus 0.227% -> 0.132% (-41.745%),pohiseadusega riigikohus oiguskantsler 0.979% -> 0.801% (-18.156%),kaasne lisakulutusi riigieelarvele 0.548% -> 0.392% (-28.421%),liibanonis missioonil pikendamine 0.418% -> 0.336% (-19.677%),taanis saksamaal hollandis 0.559% -> 0.42% (-24.881%),kodualuse maamaksu maamaksust 0.126% -> 0.052% (-58.373%),samba sammas sambasse 0.462% -> 0.357% (-22.617%),kutsehariduse kutseharidus kutsehariduses 0.37% -> 0.251% (-32.138%),muundatud geneetiliselt gmo 0.072% -> 0.022% (-68.718%),post posti omniva 0.056% -> 0.012% (-79.095%),elatisraha elatisabi elatise 0.07% -> 0.018% (-73.791%)
hiv narkomaania epideemia 0.063% -> 0.016% (-74.254%),ametipalkade riigiteenijate korgemate 0.178% -> 0.093% (-48.1%),korrata stenogrammist vabandan 0.066% -> 0.021% (-68.124%),pensioniiga pensioniea eluiga 0.19% -> 0.101% (-46.636%),jalitustegevuse jalitustoimingu sideandmete 0.165% -> 0.112% (-32.034%),kandideerima ametikohale kandidaatide 0.154% -> 0.084% (-45.368%),lipud lippude lipp 0.095% -> 0.031% (-66.698%),energiaagentuur agentuuri agentuur 0.042% -> 0.013% (-69.599%),uuring uuringut uuringu 0.459% -> 0.323% (-29.714%),pensionifondide pensionifondid fondid 0.861% -> 0.673% (-21.795%),koolituse koolitus koolitusele 0.112% -> 0.047% (-58.189%),taanis saksamaal hollandis 0.434% -> 0.295% (-31.997%)
missiooni missioonile missioon 0.781% -> 0.6% (-23.177%),volakirjade keskpank volakirju 0.99% -> 0.767% (-22.455%),idapiiri piiririba valjaehitamine 0.066% -> 0.021% (-68.124%),pensionifondide pensionifondid fondid 0.337% -> 0.215% (-36.214%),humni humn laulda 0.038% -> 0.014% (-63.185%),hoiu pangad pankade 0.196% -> 0.116% (-40.978%),pensionifondide pensionifondid fondid 0.494% -> 0.336% (-31.979%),lapsetoetust lapsetoetus lapsetoetuse 0.451% -> 0.345% (-23.645%),valdkonnad laekumisest fikseeritakse 0.217% -> 0.126% (-42.118%),kusija vastaja vastasin 0.09% -> 0.034% (-62.461%),untso missioonide liikmesusest 0.314% -> 0.199% (-36.537%),elektri elektrit taastuvenergia 4.176% -> 3.745% (-10.329%)
pensionitous pensionitousu pension 0.466% -> 0.324% (-30.416%),untso missioonide liikmesusest 0.454% -> 0.304% (-33.007%),lipu laevu kaubalaeva 0.318% -> 0.211% (-33.591%),riigikontrolor karis riigikontrolori 0.274% -> 0.165% (-39.966%),deklaratsiooni deklaratsioone deklaratsioonis 0.114% -> 0.07% (-38.642%),koneleja konsensuslikud repliigi 0.112% -> 0.053% (-53.051%),pensioniiga pensioniea eluiga 0.231% -> 0.126% (-45.506%),rahvuse rahvust rahvusriik 0.934% -> 0.778% (-16.655%),muundatud geneetiliselt gmo 0.153% -> 0.072% (-53.143%),operatsioonil sojalisel panustamisel 0.108% -> 0.045% (-58.29%),riigiloivude riigiloivud riigiloivu 0.18% -> 0.094% (-47.736%),virumaale virumaa toostusalade 0.868% -> 0.664% (-23.497%)
annetused annetusi annetuste 0.214% -> 0.114% (-46.993%),opositsioonis koalitsiooni opositsiooni 0.86% -> 0.648% (-24.599%),vagivalla naistevastase perevagivalla 0.185% -> 0.105% (-43.078%),louis freeh kremli 0.063% -> 0.013% (-79.989%),kusimusena tahtsa tahtsusega 0.114% -> 0.07% (-38.642%),riigikontrolor karis riigikontrolori 0.224% -> 0.137% (-38.966%),vanemahuvitist vanemahuvitise vanemahuvitis 0.62% -> 0.441% (-28.881%),varude varud varu 0.115% -> 0.064% (-44.726%),pollumeestele pollumehi pollumehed 0.931% -> 0.717% (-22.975%),valijate erakonda valijaid 0.52% -> 0.37% (-28.806%),tooandja tooandjal tootaja 0.404% -> 0.27% (-33.219%),skais arendused infosusteemide 0.106% -> 0.037% (-65.054%)
valimisea valimisiga valimisoiguse 0.214% -> 0.114% (-46.993%),haaletamissedel haaletamiskasti sedeli 0.13% -> 0.053% (-59.222%),abielu kooselu samasooliste 0.185% -> 0.105% (-43.078%),suuria euroopasse turgis 0.063% -> 0.013% (-79.989%),riigiabi komisjonilt loa 0.266% -> 0.196% (-26.371%),korrata stenogrammist vabandan 0.098% -> 0.042% (-57.075%),arengukavad arengukavade pohialuste 1.124% -> 0.871% (-22.503%),valimisea valimisiga valimisoiguse 0.136% -> 0.077% (-43.876%),erso teatri kontserdi 0.077% -> 0.018% (-76.571%),president ilves presidendi 0.143% -> 0.067% (-53.077%),haiguspaevade haiguspaevi haiguspaeva 1.291% -> 1.044% (-19.105%),rongi rongide rongid 0.082% -> 0.018% (-77.535%)
borsile ipo enefit 0.504% -> 0.341% (-32.416%),samba sammas sambasse 0.243% -> 0.132% (-45.629%),pensioni pension sammas 0.159% -> 0.084% (-46.873%),teatri teater rahvusooper 0.063% -> 0.013% (-79.989%),valimisliitude volikogusse volikokku 1.722% -> 1.524% (-11.482%),jarviku jarvik maaeluministri 0.503% -> 0.368% (-26.968%),valimiskomisjon proteste valimiskasti 0.252% -> 0.136% (-45.884%),kauguhendus avaksite ettekandjalt 0.189% -> 0.115% (-39.199%),piirikontrolli schengeni valispiiri 0.077% -> 0.018% (-76.571%),huvigruppe huvigruppide kaasatud 1.076% -> 0.853% (-20.752%),ootuse oigusparase oiguskindluse 0.135% -> 0.059% (-56.447%),koosoleku elektrooniline koosolekut 0.082% -> 0.018% (-77.535%)
volitust kaasuses jarvik 0.101% -> 0.032% (-67.817%),koneleja konsensuslikud repliigi 0.114% -> 0.04% (-65.047%),hiv narkomaania epideemia 0.159% -> 0.084% (-46.873%),hiv narkomaania epideemia 0.084% -> 0.025% (-69.983%),hambaravi hammaste hambad 0.19% -> 0.126% (-33.734%),valitsemisalade katteallikaks riigieelarves 0.07% -> 0.021% (-69.953%),relva relvade relvaluba 0.21% -> 0.105% (-50.047%),inflatsiooni inflatsioon hinnatous 0.105% -> 0.051% (-51.359%),metsa metsade mets 0.676% -> 0.484% (-28.388%),valismaale valjarande valjaranne 0.323% -> 0.202% (-37.436%),kaasne lisakulutusi riigieelarvele 0.202% -> 0.106% (-47.736%),riigireformi riigireformist riigireform 0.141% -> 0.055% (-60.686%)
raamatukogu pimedate raamatukogude 0.101% -> 0.032% (-67.817%),valitsemisalade katteallikaks riigieelarves 0.114% -> 0.04% (-65.047%),hooldekodus hoolduse hooldekodu 0.357% -> 0.232% (-35.067%),ugri rahvaste polisrahvaste 0.084% -> 0.025% (-69.983%),hooldekodus hoolduse hooldekodu 0.241% -> 0.168% (-30.246%),liibanonis missioonil pikendamine 0.336% -> 0.221% (-34.271%),haaletamissedel haaletamiskasti sedeli 0.137% -> 0.052% (-61.575%),miili baasvorgu lairiba 0.367% -> 0.255% (-30.513%),ts parvlaeva parvlaevad 0.485% -> 0.323% (-33.413%),karistuse karistus tingimisi 0.664% -> 0.483% (-27.29%),riigikontrolli auditi auditit 0.236% -> 0.129% (-45.248%),riigimetsa majandamise noukokku 0.141% -> 0.055% (-60.686%)
hoiu pangad pankade 0.101% -> 0.032% (-67.817%),uliopilased uliopilastele uliopilaste 2.563% -> 2.17% (-15.347%),etv saateid pbk 0.251% -> 0.148% (-41.281%),post posti omniva 0.105% -> 0.038% (-63.98%),konkurss konkursi konkurssi 0.139% -> 0.084% (-39.758%),moisteid moiste moisted 0.685% -> 0.515% (-24.881%),post posti omniva 0.168% -> 0.073% (-56.291%),post posti omniva 0.073% -> 0.026% (-65.256%),pohiseadusega riigikohus oiguskantsler 0.727% -> 0.52% (-28.481%),virumaale virumaa toostusalade 0.861% -> 0.651% (-24.402%),volitust kaasuses jarvik 0.157% -> 0.07% (-55.203%),abielu kooselu samasooliste 0.27% -> 0.148% (-45.302%)
louis freeh kremli 0.076% -> 0.016% (-78.545%),mes maale maaelu 0.097% -> 0.026% (-72.815%),uuring uuringut uuringu 0.41% -> 0.274% (-33.163%),objekti anu raua 0.105% -> 0.038% (-63.98%),arengukavad arengukavade pohialuste 0.949% -> 0.797% (-16.062%),koondaruande majandusaasta koondaruanne 0.056% -> 0.011% (-81.22%),teenuseid teenused teenust 0.242% -> 0.126% (-47.875%),lng terminali gaasi 0.147% -> 0.077% (-47.885%),riigipalgaliste riigisektoris koondada 0.6% -> 0.413% (-31.21%),katteallikas katteallikaid katteallikat 0.395% -> 0.247% (-37.436%),pensionitous pensionitousu pension 0.707% -> 0.504% (-28.656%),valimisea valimisiga valimisoiguse 0.117% -> 0.037% (-68.549%)
valdkonnad laekumisest fikseeritakse 0.076% -> 0.016% (-78.545%),valispoliitika valispoliitikas diplomaatia 0.519% -> 0.344% (-33.735%),kaasne lisakulutusi riigieelarvele 0.741% -> 0.548% (-26.002%),salvestisi salvestised salvestiste 0.654% -> 0.468% (-28.346%),etv saateid pbk 0.342% -> 0.252% (-26.371%),kandidaati kandidaat valituks 0.182% -> 0.095% (-47.995%),sularaha kommertspangad pangad 0.242% -> 0.126% (-47.875%),hambaravi hammaste hambad 0.094% -> 0.038% (-59.466%),korrata stenogrammist vabandan 0.115% -> 0.036% (-68.762%),hiv narkomaania epideemia 0.09% -> 0.022% (-74.974%),erimargistatud kutust kutuse 0.213% -> 0.106% (-50.487%),jahimehed jahimeeste jahti 0.094% -> 0.018% (-80.343%)
kulukuse krediidi kiirlaenude 0.151% -> 0.065% (-57.09%),korterelamute kortermajade kredexi 0.6% -> 0.41% (-31.669%),oiglase virumaale ulemineku 0.079% -> 0.021% (-73.437%),huvihariduse huvitegevuse huviharidus 0.169% -> 0.076% (-54.974%),keeleoskust oskuse keeleoskuse 0.177% -> 0.112% (-36.889%),tootuli lepitaja ametiuhingute 0.112% -> 0.042% (-62.441%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.2% -> 0.094% (-52.676%),lahususe voimude lahusus 0.378% -> 0.255% (-32.443%),kaitseliit kaitseliidule kaitseliidu 0.523% -> 0.341% (-34.857%),kolledz kolledzi turi 0.108% -> 0.034% (-68.718%),tooandja tervisesse maksuvabalt 0.168% -> 0.07% (-58.189%),rahvuse rahvust rahvusriik 0.809% -> 0.572% (-29.349%)
jaatmeid liigiti prugi 0.491% -> 0.324% (-33.984%),kutsehariduse kutseharidus kutsehariduses 0.389% -> 0.238% (-38.833%),toovoimereformi toovoimega toovoimereform 0.146% -> 0.063% (-56.533%),vee monopolide veeteenuse 0.358% -> 0.215% (-39.966%),uuring uuringut uuringu 0.329% -> 0.238% (-27.787%),palgalohe soolist meeste 0.853% -> 0.641% (-24.881%),borsile ipo enefit 0.357% -> 0.21% (-41.232%),seksuaalse vangistusega vaarkohtlemise 0.136% -> 0.064% (-53.23%),tootuid tootute tootu 0.23% -> 0.108% (-53.143%),untso missioonide liikmesusest 0.484% -> 0.314% (-35.119%),teenuseid teenused teenust 0.168% -> 0.07% (-58.189%),karistuse karistus tingimisi 0.633% -> 0.424% (-33.021%)
huvigruppe huvigruppide kaasatud 0.819% -> 0.6% (-26.722%),riigikontrolli auditi auditit 0.649% -> 0.45% (-30.677%),hanke hankija riigihangete 0.648% -> 0.464% (-28.441%),valispoliitika valispoliitikas diplomaatia 0.506% -> 0.329% (-34.963%),veb fondi uurimiskomisjon 0.127% -> 0.07% (-44.778%),lasteaia lasteaias lasteaiakoha 0.447% -> 0.294% (-34.271%),riigikontrolli auditi auditit 0.693% -> 0.483% (-30.369%),kandideerima ametikohale kandidaatide 0.189% -> 0.102% (-45.954%),raamatukogu pimedate raamatukogude 0.179% -> 0.072% (-59.837%),valimisea valimisiga valimisoiguse 0.179% -> 0.079% (-56.205%),leping ratifitseerida lepinguga 0.438% -> 0.27% (-38.356%),idapiiri piiririba valjaehitamine 0.258% -> 0.129% (-49.964%)
lasteaia lasteaias lasteaiakoha 1.172% -> 0.908% (-22.485%),huvihariduse huvitegevuse huviharidus 0.081% -> 0.013% (-83.689%),kodakondsust kodakondsuse kodanikuks 0.754% -> 0.548% (-27.3%),ajakirjandus ajakirjanduse ajakirjandust 0.464% -> 0.291% (-37.237%),aasia aasias saatkonna 0.354% -> 0.252% (-29.0%),opositsioonis koalitsiooni opositsiooni 1.384% -> 1.103% (-20.329%),hiv narkomaania epideemia 0.126% -> 0.042% (-66.698%),teadus teaduse arendustegevuse 1.322% -> 1.072% (-18.932%),direktiivi direktiiv ulevotmise 0.842% -> 0.592% (-29.714%),jahimehed jahimeeste jahti 0.179% -> 0.079% (-56.205%),tulumaksuvaba maksususteemi tulumaksu 0.64% -> 0.434% (-32.149%),haale valimispaeval valimiste 0.235% -> 0.111% (-52.823%)
