,female_effect_size,female_p_value
leheküljel,0.10553549975156784,0.38792232191151843
koolidele,0.1023576408624649,0.3859499714055623
töötuskindlustuse,0.344780296087265,0.1576165289834447
eduard,-0.28764837980270386,0.7998755377682341
struktuur,0.04351221024990082,0.45026941955888233
juhtumite,0.1384744793176651,0.34505805676059076
toimiv,0.5373040437698364,0.05658959062604563
tagamisel,0.060488004237413406,0.4318964303976496
juuli,0.22510990500450134,0.2545681961357531
justiitsministri,-0.30567988753318787,0.8105451893820532
hukka,-0.05069615691900253,0.562107585879661
põllumajandusminister,-0.5945708751678467,0.9602699918797508
katmiseks,0.39907360076904297,0.12456225876801996
katri,-0.2209017425775528,0.7379359748920669
hallemaa,-0.54673171043396,0.9451939669923709
hoidnud,-0.34370383620262146,0.8366948861389014
sihtasutus,-0.016962507739663124,0.5234914479386237
poliitilises,-0.6414519548416138,0.9679867374858384
langus,-0.1428338885307312,0.6585987631811968
ülle,-0.5913034081459045,0.9592000734632309
85,0.15889079868793488,0.31559142851446276
ühendada,-0.0556197315454483,0.5604154859032477
sanktsioone,-0.31509098410606384,0.8235244161838856
mõõta,-0.045502059161663055,0.5553185454408347
punktiga,0.013558689504861832,0.483246073672036
väitega,0.011304765939712524,0.491981793632679
kõrgemat,0.4307297170162201,0.10454058212227035
töölt,0.4087265431880951,0.116465370753007
lehekülge,-0.046023450791835785,0.5514889762632114
tehtavad,0.054448243230581284,0.4399012539914272
situatsiooni,0.08537695556879044,0.41029411828559437
paberil,-0.21272823214530945,0.7332358405012156
teadmiseks,-0.2047192007303238,0.7276347989014162
saajate,0.23390346765518188,0.24933084179508902
prantsuse,-0.16276118159294128,0.6796484884901638
põhilised,-0.23944519460201263,0.7564969996898475
temaatikat,0.26477834582328796,0.22049579163880484
lubati,-0.06771964579820633,0.5761351951201124
kasvaks,0.39655646681785583,0.12876961776267226
võrdluses,0.01572587713599205,0.48123199194080835
trahvi,-0.0642504021525383,0.5764384813285653
heale,-0.413785845041275,0.8816287007864039
rahvastikuregistri,0.27155646681785583,0.2166141364323544
oskusi,0.24285730719566345,0.24589911380357488
sooja,0.27778303623199463,0.2082873176847473
rene,-0.3795897960662842,0.8628066449920854
hääletamine,-0.20095686614513397,0.723003119284931
sõltuvad,0.10451629757881165,0.3788804634719234
2003.,-0.27904531359672546,0.7911103392295122
arvutused,-0.23127423226833344,0.7473664525293695
ettepanekust,-0.07215793430805206,0.5841283899206692
sotsid,-0.28219953179359436,0.7998526338102704
saarte,0.12943938374519348,0.3572610544464113
arutelule,-0.20486578345298767,0.7313377718748475
kohtud,0.2262522578239441,0.2557237327408587
perearstid,0.30843743681907654,0.1796280784552876
kohaldada,0.07668786495923996,0.41131213642669007
reservi,0.02516072802245617,0.4669110167119289
veeteede,0.24650466442108154,0.23151256046624602
huvidest,0.19575504958629608,0.2798423132369302
kajastatud,0.3122030794620514,0.1750884898410272
edastada,-0.03302709385752678,0.5377755974280104
rahastatud,0.24184590578079224,0.24017587360919757
püsib,0.30173254013061523,0.1938210352416555
halvad,-0.06667222082614899,0.5704250896897411
afganistani,0.21044816076755524,0.27631813735086475
ilmnenud,0.3059263825416565,0.1867763167709443
sõnastuses,0.0973910540342331,0.3911634463771059
läheneda,0.048302844166755676,0.4425258011347514
ootused,-0.22332380712032318,0.7489983019925501
loomisel,0.015559513121843338,0.4860428171455651
põhimõtetest,-0.3244958817958832,0.8268333084615331
meelis,-0.3718933165073395,0.8573055968927901
mikko,-0.5295054912567139,0.937992667667919
küsi,0.06880170106887817,0.4202886392147791
eeldame,0.6981553435325623,0.021358532234887706
